Miasto,Nazwa,Długość (km),Trudność,Typ terenu,Kategoria,Indeks komfortu,Wynik ważony,Szacowany czas
Warszawa,Ogród Krasińskich,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Skwer pułkownika Antoniego Władysława Żurowskiego,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Wybieg dla goryli,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Nahur chiński,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Park Enklawa,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Wybieg dla hipopotamów,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Skwer Anki Kowalskiej,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Irbis śnieżny,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Skwer 16 Września 1944 r.,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Tr6-39,4.9,1/3,mixed,RODZINNA,94.6/100,75.25/100,1h 13min
Warszawa,Park Obwodu Praga AK,4.8,1/3,mixed,RODZINNA,94.6/100,75.0/100,1h 11min
Warszawa,Park Stefana Wiecheckiego „Wiecha”,4.8,1/3,mixed,RODZINNA,94.6/100,75.0/100,1h 11min
Warszawa,Ptaki wodne,4.8,1/3,mixed,RODZINNA,94.6/100,75.0/100,1h 11min
Warszawa,SM41-190,4.8,1/3,mixed,RODZINNA,94.6/100,75.0/100,1h 11min
Warszawa,Park Józefa Polińskiego,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,Potok Służewiecki,4.9,1/3,riverside,RODZINNA,94.6/100,74.75/100,1h 13min
Warszawa,Wikunia,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,Park Olszyna,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,OSIR Włochy,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,Rezerwat Łęgi Czarnej Strugi,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,Bociani Zakątek,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,Kanał Bródnowski Dolny,4.9,1/3,riverside,RODZINNA,94.6/100,74.75/100,1h 13min
Warszawa,Pałacyk w Morysinie,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,Skwer 30. Pułku Strzelców Kaniowskich,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,Kanał Kawęczyński,4.9,1/3,riverside,RODZINNA,94.6/100,74.75/100,1h 13min
Warszawa,Ogród społecznościowy - Fort Bema,4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
Warszawa,"Park linearny ""Suwak""",4.7,1/3,mixed,RODZINNA,94.6/100,74.75/100,1h 10min
